,ID_float,dt_float,lat_float,lon_float,kd_380_Xing,kd_412_Xing,kd_490_Xing,PAR_0,zpd_PAR,kd_PAR,kd_490_it,kd_412_it,aot_869,angstrom,Rrs_412,Rrs_443,Rrs_469,Rrs_488,Rrs_531,Rrs_547,Rrs_555,Rrs_645,Rrs_667,Rrs_678,chlor_a,Kd_490_Aus,sat_dt,weigth,new_kd_Aus,sat_name,a_490,bb_490,nw_490,a_412,bb_412,nw_412,new_kd_490_Lee_indiv,new_kd_412_Lee_indiv,zenith_angle,rrs_412,rrs_490,aot_862,Rrs_410,Rrs_486,Rrs_551,Rrs_671,new_kd_490_Lee_global,new_kd_412_Lee_global,TOTANGSTR_Merra,TOTEXTTAU_Merra,TOTSCATAU_Merra,PS_Merra,lat_Merra,lon_Merra,dt_Merra,tau_mol_490,tau_mol_412,w_490,w_412,a_aer,tau_aer_490,tau_aer_412,t_dir_490,t_dir_412,t_tot_490,t_tot_412,f_490,f_412,D0_490,D0_412,kd_490_f,kd_412_f
0,6901772,2018-10-01 10:24:57.600000725+00:00,36.06765667,20.94208167,0.051291227,0.032252859,,,,,,0.033524307,,1.048117894,,0.010582501,,,,,,,,,0.07234806,0.038299999,737334.4813,0.000176545,0.031898391,viirs,0.028082386,0.004069307,0.346990216,0.027547322,0.00661527,0.440391345,0.032145651,0.030831768,42.33108543,0.021902371,0.013258718,0.161111996,0.012171001,0.007464001,0.002525001,0.000333501,0.035190687,0.035085796,1.2094841,0.172588229,0.163553923,101467.3438,36.0,21.25,737334.4167,0.153845892,0.314967702,0.824088924,0.668192041,0.666666667,0.089127728,0.074317441,0.719881401,0.590619421,0.867777035,0.772920564,0.829569546,0.764139872,1.326158466,1.3159715,0.04263824,0.044956997
1,6902732,2018-10-01 11:34:56.639999006+00:00,37.72003333,1.4763,0.059655407,0.050584092,0.043804384,793.3649687,12.26681105,0.08152078,0.038281274,0.047789676,,1.207143783,,0.006884668,,,,,,,,,0.160411009,0.044942856,737334.5521,8.63e-05,0.037612689,viirs,0.033256104,0.003653574,0.386473566,0.039282438,0.00599464,0.485985447,0.039600426,0.046851978,46.1361184,0.013965933,0.010029733,0.155374996,0.007629668,0.005557001,0.002167715,0.000260668,0.042663988,0.052336695,0.914625227,0.339289367,0.320239156,101781.9688,37.5,1.25,737334.5,0.153877299,0.315944339,0.849220632,0.724686709,0.666666667,0.078569729,0.063732169,0.715018526,0.578153841,0.865736045,0.767665508,0.825908231,0.753132497,1.400264969,1.382354072,0.05168333,0.062588953
2,6902826,2018-10-02 10:39:04.320000708+00:00,38.81174,17.26303333,0.093280625,,,,,,,,,1.279695485,,0.009940183,,,,,,,,,0.145291075,0.051781817,737335.5021,0.000176545,0.044326456,viirsjn,0.033983228,0.005663307,0.24932602,0.045088843,0.008709659,0.334491583,0.04410995,0.063167524,46.55348599,0.01767168,0.015253581,0.14068636,0.009705274,0.00849691,0.003476364,0.000450455,0.04484816,0.06333821,1.325190306,0.202222139,0.194163963,101212.1484,39.0,17.5,737335.4167,0.153820417,0.314175543,0.823871775,0.65474818,0.666666667,0.068285482,0.054697662,0.723988399,0.584847214,0.866784581,0.76753328,0.835257589,0.761982873,1.411803853,1.392959736,0.055973131,0.074939147
3,6902826,2018-10-02 10:39:04.320000708+00:00,38.81174,17.26303333,0.093280625,,,,,,,,,0.879873374,,0.008160001,,,,,,,,,0.130772978,0.045199999,737335.4687,0.000176545,0.037346754,viirs,0.032689616,0.004003025,0.352735667,0.037921205,0.006488258,0.449012315,0.038167234,0.044285831,43.19667761,0.015660478,0.01119135,0.130778568,0.008586001,0.006226001,0.002414001,0.000324001,0.041588346,0.050185639,1.325190306,0.202222139,0.194163963,101212.1484,39.0,17.5,737335.4167,0.153820417,0.314175543,0.823871775,0.65474818,0.666666667,0.079559821,0.068303087,0.726051851,0.591758861,0.869613128,0.772553961,0.834913627,0.765977383,1.342881499,1.330836513,0.049273869,0.059101734
4,6902671,2018-10-02 15:37:00.479999853+00:00,69.91733383,-64.345307,0.176473541,0.122078045,0.053060376,,,,0.041210509,0.122260231,,,,0.003256756,,,,,,,,,0.497598932,0.08906222,737335.6854,0.005985401,0.078571388,viirs,0.065434875,0.003622754,0.389761382,0.084625996,0.005766342,0.505226289,0.088656605,0.114776733,73.67692712,0.00618417,0.005011557,0.022646666,0.003318827,0.002713218,0.001899709,0.000207405,0.09481689,0.126376586,1.145144701,0.032502327,0.030143999,101574.2031,70.0,-64.375,737335.625,0.153856559,0.315299408,0.812528076,0.666208672,0.666666667,,,,,,,,,,,,
5,6902671,2018-10-02 15:37:00.479999853+00:00,69.91733383,-64.345307,0.176473541,0.122078045,0.053060376,,,,0.041210509,0.122260231,,0.032395715,,0.004963305,,,,,,,,,0.322338711,0.071713042,737335.6521,0.005985401,0.067985671,viirsjn,0.046580845,0.003934099,0.358915668,0.060174419,0.006275888,0.464206476,0.067529165,0.092317677,73.73204089,0.009516108,0.007686439,0.032758695,0.005144131,0.004201957,0.002217349,0.00033361,0.067417741,0.090450839,1.145144701,0.032502327,0.030143999,101574.2031,70.0,-64.375,737335.625,0.153856559,0.315299408,0.812528076,0.666208672,0.666666667,0.032164704,0.031984547,0.514760506,0.289463929,0.732207563,0.541418531,0.703025388,0.534639862,2.86511906,2.465578575,0.144731329,0.163838452
6,6902671,2018-10-03 15:34:59.520004164+00:00,69.86718467,-64.39764533,0.183283717,0.121339217,0.063460465,105.2512952,7.54436562,0.132549249,0.063631198,0.12195271,,0.166050059,,,,,,,,,,,,,737336.6729,0.005985401,,viirs,,,,,,,,,73.92812175,,,0.166219996,,,,,,,1.037403345,0.042543031,0.040097304,101487.9297,70.0,-64.375,737336.6667,0.153847947,0.315031604,0.836072098,0.698438928,0.666666667,0.151338467,0.14704354,0.33207959,0.188419012,0.64169122,0.453403662,0.517506831,0.415565703,2.446859176,2.200655558,,
7,6901864,2018-10-04 10:52:01.919997408+00:00,42.23694,5.940823333,0.101881258,0.077749788,,989.5634567,11.82372716,0.0845757,,0.069973719,,0.639171476,,0.004282072,,,,,,,,,0.252688112,0.056235713,737337.4771,8.63e-05,0.048844785,viirsjn,0.03877577,0.002758752,0.511829254,0.062760006,0.004747153,0.613695724,0.050231435,0.08704962,46.64808678,0.006874199,0.006460699,0.081196427,0.003705429,0.003543787,0.001539429,0.000210787,0.049597069,0.083548204,1.216548204,0.104185626,0.096779741,101925.5234,42.0,6.25,737337.5,0.153891629,0.316389951,0.807135693,0.653644868,0.666666667,0.056590171,0.05065381,0.735936551,0.585858454,0.870161697,0.767942891,0.845746893,0.762893257,1.416650648,1.395132561,0.058839906,0.094181437
8,6901864,2018-10-04 10:52:01.919997408+00:00,42.23694,5.940823333,0.101881258,0.077749788,,989.5634567,11.82372716,0.0845757,,0.069973719,,1.077140036,,0.004165201,,,,,,,,,0.257208862,0.04932558,737337.5479,8.63e-05,0.041481914,viirsjn,0.034915843,0.00273859,0.515597363,0.074581426,0.004715939,0.617757674,0.045905122,0.105283892,52.30700506,0.00573331,0.007131483,0.058229786,0.00308329,0.003911592,0.001534305,0.000196697,0.045456104,0.101470736,1.216548204,0.104185626,0.096779741,101925.5234,42.0,6.25,737337.5,0.153891629,0.316389951,0.807135693,0.653644868,0.666666667,0.031689157,0.026290768,0.738215774,0.570947775,0.866915834,0.75706471,0.851542612,0.754159806,1.570409437,1.527706161,0.059132876,0.121143073
9,6901864,2018-10-04 10:52:01.919997408+00:00,42.23694,5.940823333,0.101881258,0.077749788,,989.5634567,11.82372716,0.0845757,,0.069973719,0.146409087,0.26183339,0.003309584,0.003791001,0.003781566,0.003627131,0.001965251,0.001527751,0.00120087,0.000117584,0.00024087,0.000245084,0.263692161,0.047495651,737337.4635,8.63e-05,0.041470543,terra,0.031447797,0.002288418,0.606415538,0.060347533,0.004089094,0.697707169,0.040324557,0.076436888,46.80874081,0.006149235,0.006609967,,,,,,0.039683626,0.07938955,1.216548204,0.104185626,0.096779741,101925.5234,42.0,6.25,737337.5,0.153891629,0.316389951,0.807135693,0.653644868,0.666666667,0.126013676,0.120420915,0.664342355,0.528239409,0.841391265,0.732539861,0.789576006,0.72110671,1.405493247,1.387413435,0.047416022,0.089400243
